1,Get Together,A
1,burger,NA
2,Get Together,A
2,milkshake,NA
3,Get Together,A
3,fries,NA
4,Get Together,A
4,soda,NA
5,Get Together,A
5,burger,NA
6,Get Together,A
6,burger,NA
7,Get Together,A
7,soda,NA
8,Get Together,A
8,wings,NA
9,Get Together,A
9,wings,NA
10,Get Together,A
10,soda,NA
11,Get Together,A
11,milkshake,NA
12,Get Together,A
12,soda,NA
13,Get Together,A
13,burger,NA
14,Get Together,A
14,milkshake,NA
15,Get Together,A
15,fries,NA
16,Get Together,A
16,soda,NA
17,Get Together,A
17,milkshake,NA
18,Get Together,A
18,milkshake,NA
19,Get Together,A
19,fries,NA
20,Get Together,A
20,wings,NA
21,Get Together,A
21,wings,NA
22,Get Together,A
22,milkshake,NA
23,Get Together,A
23,wings,NA
24,Get Together,A
24,soda,NA
25,Get Together,A
25,soda,NA
26,Get Together,A
26,soda,NA
27,Get Together,A
27,wings,NA
28,Get Together,A
28,burger,NA
29,Get Together,A
29,wings,NA
30,Get Together,A
30,wings,NA
31,Get Together,A
31,wings,NA
32,Get Together,A
32,burger,NA
33,Get Together,A
33,wings,NA
34,Get Together,A
34,milkshake,NA
35,Get Together,A
35,soda,NA
36,Get Together,A
36,burger,NA
37,Get Together,A
37,milkshake,NA
38,Get Together,A
38,fries,NA
39,Get Together,A
39,wings,NA
40,Get Together,A
40,soda,NA
41,Get Together,A
41,soda,NA
42,Get Together,A
42,milkshake,NA
43,Get Together,A
43,soda,NA
44,Get Together,A
44,wings,NA
45,Get Together,A
45,burger,NA
46,Get Together,A
46,fries,NA
47,Get Together,A
47,fries,NA
48,Get Together,A
48,milkshake,NA
49,Get Together,A
49,fries,NA
50,Get Together,A
50,wings,NA
51,Get Together,A
51,milkshake,NA
52,Get Together,A
52,wings,NA
53,Get Together,A
53,milkshake,NA
54,Get Together,A
54,fries,NA
55,Get Together,A
55,milkshake,NA
56,Get Together,A
56,soda,NA
57,Get Together,A
57,wings,NA
58,Get Together,A
58,burger,NA
59,Get Together,A
59,wings,NA
60,Get Together,A
60,fries,NA
61,Get Together,A
61,milkshake,NA
62,Get Together,A
62,fries,NA
63,Get Together,A
63,milkshake,NA
64,Get Together,A
64,wings,NA
65,Get Together,A
65,wings,NA
66,Get Together,A
66,fries,NA
67,Get Together,A
67,milkshake,NA
68,Get Together,A
68,wings,NA
69,Get Together,A
69,fries,NA
70,Get Together,A
70,wings,NA
71,Get Together,A
71,soda,NA
72,Get Together,A
72,fries,NA
73,Get Together,A
73,soda,NA
74,Get Together,A
74,milkshake,NA
75,Get Together,A
75,burger,NA
76,Get Together,A
76,wings,NA
77,Get Together,A
77,fries,NA
78,Get Together,A
78,fries,NA
79,Get Together,A
79,wings,NA
80,Get Together,A
80,soda,NA
81,Get Together,A
81,burger,NA
82,Get Together,A
82,milkshake,NA
83,Get Together,A
83,burger,NA
