1,Get Together,A
1,wings,NA
2,Get Together,A
2,burger,NA
3,Get Together,A
3,wings,NA
4,Get Together,A
4,soda,NA
5,Get Together,A
5,wings,NA
6,Get Together,A
6,burger,NA
7,Get Together,A
7,fries,NA
8,Get Together,A
8,soda,NA
9,Get Together,A
9,soda,NA
10,Get Together,A
10,fries,NA
11,Get Together,A
11,burger,NA
12,Get Together,A
12,soda,NA
13,Get Together,A
13,soda,NA
14,Get Together,A
14,fries,NA
15,Get Together,A
15,wings,NA
16,Get Together,A
16,burger,NA
17,Get Together,A
17,milkshake,NA
18,Get Together,A
18,wings,NA
19,Get Together,A
19,milkshake,NA
20,Get Together,A
20,milkshake,NA
21,Get Together,A
21,milkshake,NA
22,Get Together,A
22,soda,NA
23,Get Together,A
23,milkshake,NA
24,Get Together,A
24,wings,NA
25,Get Together,A
25,soda,NA
26,Get Together,A
26,wings,NA
27,Get Together,A
27,wings,NA
28,Get Together,A
28,fries,NA
29,Get Together,A
29,burger,NA
30,Get Together,A
30,burger,NA
31,Get Together,A
31,soda,NA
32,Get Together,A
32,wings,NA
33,Get Together,A
33,milkshake,NA
34,Get Together,A
34,fries,NA
35,Get Together,A
35,wings,NA
36,Get Together,A
36,milkshake,NA
37,Get Together,A
37,burger,NA
38,Get Together,A
38,burger,NA
39,Get Together,A
39,wings,NA
40,Get Together,A
40,burger,NA
41,Get Together,A
41,fries,NA
42,Get Together,A
42,burger,NA
43,Get Together,A
43,burger,NA
44,Get Together,A
44,fries,NA
45,Get Together,A
45,fries,NA
46,Get Together,A
46,soda,NA
47,Get Together,A
47,fries,NA
48,Get Together,A
48,burger,NA
49,Get Together,A
49,fries,NA
50,Get Together,A
50,wings,NA
51,Get Together,A
51,fries,NA
52,Get Together,A
52,burger,NA
53,Get Together,A
53,burger,NA
54,Get Together,A
54,wings,NA
55,Get Together,A
55,soda,NA
56,Get Together,A
56,soda,NA
57,Get Together,A
57,milkshake,NA
58,Get Together,A
58,burger,NA
59,Get Together,A
59,wings,NA
60,Get Together,A
60,soda,NA
61,Get Together,A
61,burger,NA
62,Get Together,A
62,soda,NA
63,Get Together,A
63,milkshake,NA
64,Get Together,A
64,soda,NA
65,Get Together,A
65,fries,NA
66,Get Together,A
66,soda,NA
67,Get Together,A
