Manhattan Proper,Get Together,1.5
Copper Barrel,Get Together,1.51
The Bar Room,Get Together,1.52
The Wooly Public,Get Together,1.53
The Beekman Pub,Get Together,1.54
Maxwell's,Get Together,1.55
Nassau Bar,Get Together,1.56
Barleycorn,Get Together,1.57
Gianfranco Trentarossi,Get Together,1.58
Justice Urban Tavern,Get Together,1.59
The New Jalisco Bar,Get Together,1.6
bluewhale,Get Together,1.61
Nirvana Sports Bar & Grill,Get Together,1.62
Mitsuru Sushi & Grill,Get Together,1.6300000000000001
Tot,Get Together,1.6400000000000001
Union League Club,Get Together,1.6500000000000001
The Marq,Get Together,1.6600000000000001
Jack Schwartz Importer,Get Together,1.6700000000000002
Revival Food Hall,Get Together,1.6800000000000002
The Bar Below in Chicago,Get Together,1.6900000000000002
The Blue Fish Bayou Place,Get Together,1.7000000000000002
Shula's Steak House,Get Together,1.7100000000000002
Russo's New York Pizzeria,Get Together,1.7200000000000002
Maggie Rita's,Get Together,1.7300000000000002
Main Kitchen,Get Together,1.7400000000000002
Swallow's Nest,Get Together,1.7500000000000002
Cellar 7 Wine & Bar Bites,Get Together,1.7600000000000002
Sambuca,Get Together,1.7700000000000002
Rothman Cabin,Get Together,1.7800000000000002
Giovani's Bar & Grill,Get Together,1.7900000000000003
R2L Restaurant,Get Together,1.8000000000000003
Tir na nOg Irish Bar & Grill,Get Together,1.8100000000000003
Parkside Beef & Ale,Get Together,1.8200000000000003
Chris' Jazz Cafe,Get Together,1.8300000000000003
Rumor,Get Together,1.8400000000000003
1500 Lounge,Get Together,1.8500000000000003
Ladder 15,Get Together,1.8600000000000003
Gypsy Bar,Get Together,1.8700000000000003
Chico Malo,Get Together,1.8800000000000003
Copper Blues Rock Pub & Kitchen,Get Together,1.8900000000000003
Hanny's,Get Together,1.9000000000000004
Melindas Alley,Get Together,1.9100000000000004
The Strand,Get Together,1.9200000000000004
The Kettle Black Kitchen & Pub,Get Together,1.9300000000000004
The Bar,Get Together,1.9400000000000004
The Esquire Tavern,Get Together,1.9500000000000004
Tejano bar,Get Together,1.9600000000000004
Reyes Bar,Get Together,1.9700000000000004
Downstairs,Get Together,1.9800000000000004
Cadillac Bar,Get Together,1.9900000000000004
Thirsty Aztec,Get Together,2.0000000000000004
Iron Cactus Mexican Restaurant and Margarita Bar,Get Together,2.0100000000000002
Zocca Cuisine D’Italia,Get Together,2.02
Ostra Restaurant,Get Together,2.03
El Colegio,Get Together,2.0399999999999996
Waxy's,Get Together,2.0499999999999994
Gaslamp Fish House,Get Together,2.059999999999999
Rei Do Gado Brazilian Steakhouse,Get Together,2.069999999999999
Urban India,Get Together,2.0799999999999987
Bassmnt San Diego,Get Together,2.0899999999999985
The Local Eatery & Drinking Hole,Get Together,2.0999999999999983
Resident Brewing,Get Together,2.109999999999998
Full Moon SD,Get Together,2.119999999999998
The Melting Pot,Get Together,2.1299999999999977
Star Club,Get Together,2.1399999999999975
City Hall Bistro,Get Together,2.1499999999999972
